0.6484632395	likes
0.6484632395	turtle
0.6484632395	bird
0.6484632395	shop
0.6484632395	knife
0.6397038961	phone
0.6397038961	arm
0.6397038961	parents
0.6397038961	qh
0.6397038961	game
0.6397038961	cars
0.6397038961	skirt
0.6397038961	hamburger
0.6397038961	water
0.6397038961	evening
0.6397038961	happy
0.6290435426	ruler
0.6290435426	horse
0.6290435426	pen
0.6290435426	playing
0.6290435426	worker
0.6174950577	nurse
0.6174950577	visit
0.6174950577	farmer
0.6174950577	hurt
0.6174950577	teacher
0.6169408009	swim
0.6169408009	toy
0.6169408009	calls
0.6169408009	sister
0.6169408009	sick
0.6169408009	cool
0.6169408009	small
0.6169408009	girl
0.6169408009	paper
0.6169408009	schoolbag
0.6169408009	eraser
0.6169408009	friend
0.6169408009	farm
0.6169408009	bar
0.6169408009	enjoy
0.6169408009	hill
0.6169408009	dancer
0.6169408009	hope
0.6169408009	poor
0.6169408009	dirty
0.6169408009	step
0.6169408009	apple
0.6169408009	players
0.6169408009	days
0.6169408009	pork
0.6169408009	eats
0.6169408009	fort
0.6169408009	interesting
0.6169408009	carefull
0.6169408009	shirt
0.6169408009	sir
0.6169408009	gate
0.6169408009	rule
0.6169408009	house
0.6169408009	big
0.6169408009	late
0.6116950577	careful
0.6116950577	safe
0.6116950577	grandparents
0.6116950577	running
0.6090379149	pe
0.6090379149	oe
0.6016920274	dangerous
0.5996463564	es
0.5996463564	aa
0.5994496032	friends
0.5957374820	mother
0.5957374820	dad
0.5953164502	purple
0.5953164502	throw
0.5953164502	ea
0.5953164502	te
0.5953164502	garden
0.5939515512	great
0.5881147547	father
0.5825959235	ae
0.5725773088	snow
0.5725773088	job
0.5725773088	man
0.5652827201	ee
0.5651491703	theatre
0.5651491703	stop
0.5651491703	scissors
0.5651491703	mum
0.5651491703	earth
0.5567576118	er
0.5567576118	fe
0.5543552309	lucky
0.5541236291	books
0.5537552309	jack
0.5537552309	joy
0.5524667027	eee
0.5502948052	home
0.5462625541	dear
0.5456625541	bill's
0.5456625541	tom
0.5444182179	se
0.5434889971	run
0.5426682179	ss
0.5409662338	la
0.5369355339	lets
0.5363355339	steven
0.5363355339	sue
0.5349755411	sos
0.5321927128	jobs
0.5315927128	tuike
0.5315927128	tim
0.5315927128	bills
0.5315927128	lily
0.5315927128	tam
0.5315927128	mike
0.5265537157	transportation
0.5248011544	ke
0.5229738456	~
0.5216203824	yaoyao
0.5161082612	iam
0.5145687229	cook
0.5139628066	binbin
0.5139628066	andy
0.5065400794	gp
0.5012851010	teach
0.5012851010	morning
0.5012851010	talk
0.4991525613	dictionary
0.4991525613	plane
0.4961959957	climb
0.4942778139	car
0.4889773810	fun
0.4840559524	weekend
0.4840559524	children
0.4814475108	basketball
0.4739882756	police
0.4739882756	football
0.4739882756	bus
0.4688975108	also
0.4688975108	2013
0.4688975108	call
0.4688975108	near
0.4572195166	out
0.4572195166	ie
0.4572195166	one
0.4572195166	+
0.4572195166	0
0.4572195166	x
0.4562377706	play
0.4523946248	pick
0.4523946248	future
0.4523946248	bike
0.4523946248	train
0.4523946248	circle
0.4523946248	plays
0.4523946248	green
0.4523946248	fishing
0.4523946248	drawing
0.4523946248	park
0.4518944805	has
0.4518944805	down
0.4518944805	but
0.4518944805	*
0.4518944805	from
0.4501379149	41
0.4501379149	15
0.4501379149	61
0.4482468615	_
0.4442414502	52
0.4442414502	51
0.4431775974	school
0.4424700577	street
0.4424700577	safety
0.4410126623	so
0.4410126623	&
0.4402341991	having
0.4402341991	comes
0.4402341991	over
0.4402341991	them
0.4402341991	into
0.4402341991	too
0.4402341991	nine
0.4402341991	9
0.4402341991	their
0.4402341991	#
0.4402341991	8
0.4402341991	myself
0.4402341991	does
0.4381793290	come
0.4369109307	games
0.4362126623	cant
0.4356505411	of
0.4272096320	7
0.4260596320	50
0.4227571429	lord
